"price","trim","isOneOwner","mileage","year","color","fuel","soundSystem","wheelType","displacement"
43.981,"550","No",40.063,2010,"White","Gasoline","unsp","unsp",5.5
38,"550","No",37.274,2010,"Silver","Gasoline","Harman Kardon","Alloy",5.5
44.999,"550","No",51.066,2011,"Black","Gasoline","Harman Kardon","unsp",5.5
45.9,"550","Yes",27.942,2010,"White","Gasoline","Harman Kardon","unsp",5.5
39.8,"550","No",59.037,2010,"Black","Gasoline","Premium","unsp",5.5
56.995,"550","No",28.752,2011,"White","Gasoline","Harman Kardon","Alloy",5.5
33.988,"550","No",49.394,2010,"Black","Gasoline","Premium","Alloy",5.5
32.907,"550","No",65.096,2010,"Black","Gasoline","unsp","unsp",5.5
56.971,"550","No",24.922,2011,"Silver","Gasoline","Harman Kardon","Alloy",5.5
45,"550","No",30.714,2011,"Black","Gasoline","Harman Kardon","Alloy",5.5
43.9,"550","No",56.801,2010,"Black","Gasoline","Harman Kardon","Alloy",5.5
45.994,"550","Yes",44.726,2010,"Black","Gasoline","unsp","Alloy",5.5
38.999,"550","Yes",32.886,2011,"Silver","Gasoline","Premium","Alloy",5.5
46.491,"550","No",37.296,2010,"Black","Gasoline","Harman Kardon","unsp",5.5
42.75,"550","Yes",41.272,2010,"White","Gasoline","Harman Kardon","Alloy",5.5
42.499,"550","Yes",53.735,2010,"Silver","Gasoline","Harman Kardon","Alloy",5.5
51.995,"550","Yes",30.325,2010,"Black","Gasoline","unsp","unsp",5.5
56.877,"550","Yes",27.481,2011,"Silver","Gasoline","unsp","unsp",5.5
47.991,"550","No",59.478,2011,"Black","Gasoline","Harman Kardon","unsp",5.5
50,"550","Yes",31.223,2012,"Black","Gasoline","Harman Kardon","Alloy",4.6
67.9,"550","Yes",14.186,2013,"Black","Gasoline","Harman Kardon","Alloy",4.6
46.995,"550","Yes",34.842,2012,"Black","Gasoline","unsp","unsp",4.6
66.899,"550","No",9.72,2013,"White","Gasoline","Premium","Alloy",4.6
56.888,"550","Yes",21.171,2013,"Silver","Gasoline","Premium","unsp",4.6
52.999,"550","No",20.464,2013,"Other","Gasoline","Premium","Alloy",4.6
55.995,"550","Yes",15.2,2012,"Silver","Gasoline","Harman Kardon","Alloy",4.6
76.895,"550","No",9.018,2013,"Black","Gasoline","unsp","unsp",4.6
62.9,"550","Yes",18.749,2012,"Silver","Gasoline","Harman Kardon","unsp",4.6
57.99,"550","Yes",15.763,2012,"Black","Gasoline","Harman Kardon","Alloy",4.6
75.8,"550","Yes",6.983,2013,"Silver","Gasoline","Harman Kardon","Alloy",4.6
52.988,"550","No",35.939,2012,"White","Gasoline","Harman Kardon","Alloy",4.6
65.99,"550","No",15.132,2013,"White","Gasoline","Harman Kardon","unsp",4.6
64,"Other","No",53.5,2011,"Black","Gasoline","Premium","Alloy",5.5
59.986,"Other","No",28.286,2010,"Black","Gasoline","unsp","Alloy",6.3
72.9,"Other","No",38.512,2010,"White","Gasoline","unsp","unsp",6.3
29.833,"550","No",56.087,2008,"Black","Gasoline","unsp","unsp",5.5
43.998,"550","No",33.744,2009,"Other","Gasoline","unsp","unsp",5.5
21.9,"550","No",107,2007,"White","Gasoline","Premium","Alloy",5.5
20.95,"550","No",96.772,2007,"Silver","Gasoline","unsp","unsp",5.5
26.995,"550","Yes",85.543,2008,"Other","Gasoline","unsp","unsp",5.5
23.999,"550","No",62.72,2007,"Other","Gasoline","unsp","unsp",5.5
30.995,"550","No",65.875,2008,"Other","Gasoline","Harman Kardon","Alloy",5.5
24.975,"550","No",78.591,2009,"Black","Gasoline","Premium","Alloy",5.5
33.9,"550","No",61.424,2009,"Black","Gasoline","Premium","Alloy",5.5
28.288,"550","No",48.248,2007,"Black","Gasoline","unsp","unsp",5.5
29.997,"550","Yes",65.966,2008,"White","Gasoline","Premium","Alloy",5.5
27.995,"550","No",92.08,2007,"Silver","Gasoline","unsp","Alloy",5.5
25.95,"550","No",80.04,2007,"Other","Gasoline","unsp","unsp",5.5
25.985,"550","No",74.912,2007,"White","Gasoline","Harman Kardon","Alloy",5.5
28.98,"550","No",95.293,2007,"White","Gasoline","Harman Kardon","unsp",5.5
32.9,"550","No",39.79,2008,"Other","Gasoline","Premium","Alloy",5.5
24.432,"550","No",82.461,2008,"Black","Gasoline","unsp","Alloy",5.5
24.995,"550","No",61.103,2009,"Other","Gasoline","unsp","unsp",5.5
32.5,"550","Yes",42.459,2008,"Silver","Gasoline","unsp","Alloy",5.5
23.139,"550","No",95.454,2008,"Silver","Gasoline","Harman Kardon","Alloy",5.5
24.975,"550","No",101.971,2009,"Black","Gasoline","unsp","Alloy",5.5
34.995,"550","No",59.042,2008,"White","Gasoline","Premium","Alloy",5.5
25.98,"550","No",108,2008,"Black","Gasoline","unsp","Alloy",5.5
29.9,"550","No",78.798,2008,"Black","Gasoline","unsp","unsp",5.5
30.495,"550","No",56.91,2009,"Other","Gasoline","unsp","unsp",5.5
33.995,"550","No",43.644,2008,"Black","Gasoline","Harman Kardon","Alloy",5.5
37.877,"550","No",64.459,2009,"White","Gasoline","Harman Kardon","unsp",5.5
27.789,"550","No",83.009,2007,"Black","Gasoline","unsp","unsp",5.5
26.85,"550","No",80.02,2008,"Other","Gasoline","Premium","Alloy",5.5
31.991,"550","No",78.341,2008,"Black","Gasoline","Premium","Alloy",5.5
54.995,"Other","No",29.108,2012,"Black","Diesel","unsp","unsp",3
39.555,"Other","No",56.595,2012,"Silver","Diesel","Harman Kardon","Alloy",3
37.995,"Other","Yes",66.689,2012,"Black","Diesel","Harman Kardon","Alloy",3
46.994,"550","No",36.031,2011,"Black","Gasoline","Premium","Premium",5.5
37.402,"550","Yes",78.376,2011,"Black","Gasoline","Harman Kardon","unsp",5.5
49.9,"550","Yes",35.309,2011,"Black","Gasoline","Harman Kardon","Alloy",5.5
37.995,"550","No",58.101,2010,"Silver","Gasoline","unsp","unsp",5.5
43.295,"550","No",61.053,2011,"Silver","Gasoline","unsp","unsp",5.5
47.9,"550","No",27.128,2010,"Black","Gasoline","unsp","unsp",5.5
49.95,"550","Yes",19.488,2011,"Black","Gasoline","Harman Kardon","unsp",5.5
34.89,"550","No",57.363,2010,"Other","Gasoline","Harman Kardon","Alloy",5.5
42.995,"550","No",53.168,2010,"White","Gasoline","unsp","Alloy",5.5
42.999,"550","Yes",39.315,2011,"Other","Gasoline","unsp","Alloy",5.5
37.999,"550","Yes",42.571,2011,"Silver","Gasoline","Premium","Alloy",5.5
51.659,"550","No",30.948,2011,"White","Gasoline","unsp","unsp",5.5
51.995,"550","No",38.92,2011,"Other","Gasoline","Premium","unsp",5.5
36,"550","Yes",61.005,2011,"White","Gasoline","Harman Kardon","unsp",5.5
47.995,"550","Yes",8.556,2011,"Silver","Gasoline","Harman Kardon","Alloy",5.5
36.99,"550","No",65.174,2010,"Black","Gasoline","unsp","Alloy",5.5
35.49,"550","No",47.413,2010,"Silver","Gasoline","unsp","unsp",5.5
40.935,"550","No",49.725,2011,"Silver","Gasoline","unsp","Alloy",5.5
29.995,"550","No",75.134,2010,"White","Gasoline","unsp","Alloy",5.5
53.8,"550","No",29.15,2011,"Silver","Gasoline","unsp","Alloy",5.5
42.995,"550","Yes",30.49,2011,"White","Gasoline","unsp","Alloy",5.5
48.995,"550","No",29.129,2011,"Other","Gasoline","unsp","Alloy",5.5
72.99,"550","No",21.845,2012,"Black","Gasoline","Premium","Alloy",4.6
50.995,"550","Yes",29.301,2013,"Other","Gasoline","Harman Kardon","Alloy",4.6
41.999,"550","Yes",49.079,2012,"Black","Gasoline","Premium","Alloy",4.6
57.9,"550","No",35.667,2012,"Black","Gasoline","Premium","Alloy",4.6
63.908,"550","Yes",31.921,2012,"Other","Gasoline","Premium","Alloy",4.6
63.574,"550","Yes",21.804,2012,"Silver","Gasoline","unsp","unsp",4.6
58.999,"550","No",28.486,2012,"Black","Gasoline","Premium","Alloy",4.6
48.85,"550","No",38.564,2012,"Black","Gasoline","Harman Kardon","Alloy",4.6
48.995,"550","No",26.137,2012,"Silver","Gasoline","Premium","Alloy",4.6
67.995,"550","Yes",28.966,2012,"White","Gasoline","unsp","Alloy",4.6
49.9,"550","No",48.46,2012,"Black","Gasoline","Bang Olufsen","Alloy",4.6
69.998,"550","Yes",18.018,2012,"Silver","Gasoline","Harman Kardon","Alloy",4.6
56.9,"550","No",27.464,2012,"Silver","Gasoline","Premium","Alloy",4.6
46.995,"550","No",47.916,2013,"Other","Gasoline","unsp","Alloy",4.6
49.999,"550","Yes",27.366,2012,"Black","Gasoline","Premium","Alloy",4.6
63.995,"550","No",20.397,2012,"Black","Gasoline","unsp","Alloy",4.6
50.999,"550","No",21.873,2013,"Other","Gasoline","Harman Kardon","Alloy",4.6
52.995,"550","Yes",21.79,2013,"Other","Gasoline","Harman Kardon","Alloy",4.6
49.999,"550","No",24.785,2013,"White","Gasoline","Premium","Alloy",4.6
64.8,"550","No",12.488,2013,"White","Gasoline","Harman Kardon","unsp",4.6
33.985,"Other","No",62.01,2010,"Other","Hybrid","Harman Kardon","Alloy",3.5
59.99,"Other","No",17.765,2013,"Black","Hybrid","Harman Kardon","Alloy",3.5
40.995,"Other","No",40.428,2010,"Black","Hybrid","Harman Kardon","Alloy",3.5
6.998,"Other","No",82.23,1999,"Other","Gasoline","Bose","Alloy",3.2
4.995,"Other","No",134,1997,"Black","Gasoline","unsp","Alloy",3.2
9.995,"Other","No",176.047,1996,"Silver","Gasoline","unsp","unsp",4.2
4.495,"Other","No",194.448,1998,"Silver","Gasoline","unsp","unsp",4.2
7.995,"Other","No",120.701,1998,"Other","Gasoline","Premium","unsp",4.2
3.995,"Other","No",89,1998,"Silver","Gasoline","Bose","Alloy",4.2
4.996,"500","No",199.958,1995,"Other","Gasoline","Premium","Alloy",5
3.995,"500","No",181,1995,"White","Gasoline","unsp","Alloy",5
2.999,"500","No",207.399,1997,"Black","Gasoline","unsp","Alloy",5
7.5,"430","No",205.862,2000,"Other","Gasoline","unsp","Alloy",4.3
10.95,"430","No",109.121,2002,"Other","Gasoline","Premium","Alloy",4.3
10,"430","No",96.584,2002,"White","Gasoline","Premium","unsp",4.3
10.9,"430","No",144.952,2006,"Silver","Gasoline","Bose","unsp",4.3
6.999,"430","No",161.189,2001,"Silver","Gasoline","unsp","unsp",4.3
8.495,"430","No",113.183,2003,"Silver","Gasoline","Premium","Alloy",4.3
12.999,"430","No",101.754,2006,"Other","Gasoline","unsp","unsp",4.3
8.288,"430","No",129.131,2000,"White","Gasoline","unsp","Alloy",4.3
9.5,"430","No",73.302,2001,"Silver","Gasoline","Premium","unsp",4.3
6.995,"430","Yes",136.329,2002,"Silver","Gasoline","unsp","Alloy",4.3
6.988,"430","No",167,2002,"Black","Gasoline","unsp","Alloy",4.3
8.795,"430","No",96.13,2002,"Other","Gasoline","unsp","unsp",4.3
17.995,"430","No",84.266,2006,"Other","Gasoline","Premium","Alloy",4.3
15,"430","No",77.675,2006,"White","Gasoline","Premium","Alloy",4.3
10.999,"430","No",116.289,2005,"Silver","Gasoline","Premium","Alloy",4.3
8.989,"430","No",189.691,2006,"Silver","Gasoline","Premium","Alloy",4.3
8.85,"430","Yes",95.711,2002,"Silver","Gasoline","Bose","Alloy",4.3
9.998,"430","No",97.274,2002,"Black","Gasoline","unsp","unsp",4.3
8.65,"430","No",112.835,2000,"Black","Gasoline","Bose","Alloy",4.3
10.9,"430","No",64.257,2001,"White","Gasoline","unsp","Alloy",4.3
8.995,"430","No",144.5,2002,"Silver","Gasoline","unsp","Alloy",4.3
9.995,"430","No",55.975,2000,"White","Gasoline","Premium","Alloy",4.3
4.999,"430","No",174.38,2000,"Silver","Gasoline","unsp","unsp",4.3
9.994,"430","No",102.066,2004,"Other","Gasoline","Premium","Alloy",4.3
17.968,"430","No",54.928,2006,"Other","Gasoline","Bose","Alloy",4.3
13.975,"Other","No",81.836,2004,"Silver","Gasoline","unsp","Alloy",5.4
13.717,"Other","No",99.24,2005,"Silver","Gasoline","unsp","unsp",5.4
23.99,"Other","No",61.797,2005,"Black","Gasoline","unsp","Alloy",5.4
10.995,"Other","No",121.675,2006,"Silver","Gasoline","unsp","unsp",5.4
4.999,"500","No",117.556,2001,"Black","Gasoline","unsp","Alloy",5
16.499,"500","No",76.149,2006,"Other","Gasoline","unsp","unsp",5
5,"500","No",151.402,2000,"Black","Gasoline","unsp","unsp",5
8.495,"500","No",109.16,2000,"Other","Gasoline","unsp","unsp",5
7.5,"500","No",101.165,2002,"Silver","Gasoline","unsp","Alloy",5
7.997,"500","No",140.452,2002,"Black","Gasoline","unsp","Alloy",5
11.995,"500","No",131.543,2003,"Silver","Gasoline","unsp","Alloy",5
10.95,"500","No",141.141,2006,"Silver","Gasoline","unsp","Alloy",5
9.5,"500","No",82.982,2001,"White","Gasoline","Bose","Alloy",5
8.858,"500","No",101.656,2002,"Black","Gasoline","unsp","unsp",5
11.9,"500","No",89.814,2003,"Black","Gasoline","unsp","Alloy",5
8.894,"500","No",71.102,2000,"Silver","Gasoline","unsp","unsp",5
9,"500","No",154,2006,"Silver","Gasoline","unsp","Alloy",5
21.995,"500","No",60.821,2006,"White","Gasoline","unsp","unsp",5
10.9,"500","Yes",94.249,2001,"Silver","Gasoline","Premium","Alloy",5
7.995,"500","No",137.917,2004,"Other","Gasoline","Premium","unsp",5
8.896,"500","No",88.502,2001,"Silver","Gasoline","unsp","unsp",5
9.88,"500","No",100.8,2001,"Black","Gasoline","Bose","Alloy",5
6.995,"500","No",154.025,2000,"Silver","Gasoline","unsp","unsp",5
12.995,"500","No",59.68,2002,"Silver","Gasoline","Premium","Alloy",5
14.995,"500","No",125.831,2003,"Black","Gasoline","Premium","Alloy",5
19.493,"Other","No",55.313,2004,"Black","Gasoline","Bose","Alloy",5.5
12.995,"Other","No",100.102,2003,"Other","Gasoline","unsp","Alloy",5.5
17,"Other","No",68.782,2005,"Black","Gasoline","Premium","Alloy",5.5
14.95,"Other","No",83.086,2003,"Other","Gasoline","Premium","unsp",5.5
13.988,"Other","No",96.258,2003,"Other","Gasoline","Bose","Alloy",5.5
12.795,"Other","No",105.258,2001,"Silver","Gasoline","unsp","Alloy",5.8
11.279,"Other","Yes",69.869,2002,"Black","Gasoline","Premium","Alloy",5.8
14.995,"Other","No",88.174,2002,"Black","Gasoline","Bose","Alloy",5.8
9.295,"Other","No",123.42,2001,"Other","Gasoline","unsp","unsp",5.8
10,"430","No",117.819,2004,"Other","Gasoline","unsp","unsp",4.3
14.9,"430","No",118,2006,"Other","Gasoline","Premium","Alloy",4.3
12.985,"430","No",128.946,2006,"Black","Gasoline","Premium","Alloy",4.3
13.995,"430","Yes",102.215,2006,"Silver","Gasoline","Premium","unsp",4.3
6.995,"430","No",113.378,2003,"Other","Gasoline","Bose","Alloy",4.3
14.995,"500","No",75.984,2004,"Black","Gasoline","unsp","Alloy",5
13.995,"500","No",93.366,2005,"Black","Gasoline","unsp","Alloy",5
9.995,"500","No",159.644,2004,"Black","Gasoline","unsp","Alloy",5
21.995,"500","No",63.281,2006,"Other","Gasoline","unsp","Alloy",5
21.95,"500","No",48.831,2006,"Silver","Gasoline","Harman Kardon","Alloy",5
17.499,"500","No",61.393,2006,"Other","Gasoline","Bose","unsp",5
32.991,"550","Yes",30.336,2007,"White","Gasoline","Premium","Alloy",5.5
25.833,"550","No",75.875,2007,"Silver","Gasoline","unsp","Alloy",5.5
24.465,"550","No",76.471,2007,"Other","Gasoline","unsp","unsp",5.5
37.991,"550","No",47.719,2007,"Other","Gasoline","unsp","unsp",5.5
29.888,"550","No",41.88,2008,"White","Gasoline","unsp","unsp",5.5
32.945,"550","No",59.025,2008,"Other","Gasoline","Harman Kardon","Alloy",5.5
34,"550","No",80.835,2009,"Black","Gasoline","Premium","Alloy",5.5
44.999,"550","No",41.232,2009,"Silver","Gasoline","Premium","Alloy",5.5
24,"550","No",99.3,2007,"Black","Gasoline","unsp","unsp",5.5
27.999,"550","No",73.101,2008,"Black","Gasoline","Harman Kardon","Alloy",5.5
34,"550","No",48.564,2008,"Other","Gasoline","unsp","unsp",5.5
35.9,"550","No",36.194,2009,"Black","Gasoline","Harman Kardon","unsp",5.5
23.999,"550","No",92.689,2007,"Silver","Gasoline","Premium","unsp",5.5
26.991,"550","No",82.294,2007,"Black","Gasoline","Harman Kardon","Alloy",5.5
27.966,"550","No",57.598,2008,"White","Gasoline","Premium","Alloy",5.5
30.988,"550","No",63.078,2008,"Black","Gasoline","Premium","Alloy",5.5
21.5,"550","No",86.098,2007,"Other","Gasoline","unsp","Alloy",5.5
35.888,"550","No",30.891,2007,"Other","Gasoline","Premium","Alloy",5.5
27.927,"550","No",85.127,2007,"Silver","Gasoline","Harman Kardon","unsp",5.5
29.989,"550","No",57.497,2008,"Black","Gasoline","unsp","Alloy",5.5
34.991,"550","No",47.675,2008,"Black","Gasoline","Harman Kardon","unsp",5.5
23.994,"550","No",79.738,2008,"Other","Gasoline","Harman Kardon","unsp",5.5
35.99,"550","Yes",52.897,2008,"Silver","Gasoline","Harman Kardon","Alloy",5.5
27.992,"550","No",69.124,2007,"Other","Gasoline","unsp","unsp",5.5
19.5,"550","No",114.912,2007,"White","Gasoline","Harman Kardon","unsp",5.5
30.995,"550","No",59.137,2007,"Silver","Gasoline","Harman Kardon","Alloy",5.5
26.981,"550","No",51.486,2007,"Other","Gasoline","Premium","unsp",5.5
22.999,"550","No",84.562,2007,"Black","Gasoline","Premium","Alloy",5.5
